"proj","Alt","month","CY","WY","Date.monCY","Season","Inflow.Q.m3","Outflow.Q.m3","mean.vol.km3","WRT.yr","mean.depth.m","mean.delta.min","mean.STG"
"LOCAR","ECB23L",5,2011,2011,2011-05-01,"Summer",31852961.2531101,272182342.211703,3.06062889398923,0.937064490517377,2.15947868093806,0.184729976060417,11.6016437327198
"LOCAR","ECB23L",5,1998,1998,1998-05-01,"Summer",123391039.906321,375534018.643967,5.10690646769314,1.13325429347562,2.87303435350492,4.28148295689683,15.7814829568968
"LOCAR","ECB23L",5,2008,2008,2008-05-01,"Summer",39467614.4210953,135793955.007475,2.31024884978522,1.41774158850815,1.7616086197604,0,9.79725278082055
"LOCAR","ECB23L",5,2016,2016,2016-05-01,"Summer",378085070.143871,246382868.4594,4.99324085156749,1.68884876979934,2.81591565564898,4.07179453927535,15.5717945392753
"LOCAR","ECB23L",5,2015,2015,2015-05-01,"Summer",124239468.280036,327507906.322096,4.81893334143658,1.22616208861262,2.73396030345436,3.74821473593038,15.2482147359304
"LOCAR","ECB23L",5,2012,2012,2012-05-01,"Summer",13074820.2084455,60628923.8077887,3.13150180447069,4.30419125586336,2.19486208076815,0.266952201328207,11.7669522013282
"LOCAR","ECB23L",5,2009,2009,2009-05-01,"Summer",156568067.892404,188359727.285149,2.92049904529909,1.29207513702309,2.08985392922558,0.0225901441822078,11.2756577983041
"LOCAR","ECB23L",6,1982,1982,1982-06-01,"Summer",829679643.559988,63058185.9917524,2.96595481793296,3.9196005658447,2.1076644069445,0.254896025673409,11.3725881547063
"LOCAR","ECB23L",6,1979,1979,1979-06-01,"Summer",124992382.358304,213612372.518951,4.13199398263188,1.6119517227657,2.5195183237915,2.43408044893079,13.9340804489308
"LOCAR","ECB23L",6,1983,1983,1983-06-01,"Summer",125936867.567099,113403739.968202,4.83037925001143,3.54954434730714,2.73697797733778,3.7702952728576,15.2702952728576
"LOCAR","ECB23L",6,1973,1973,1973-06-01,"Summer",148392729.770533,54919214.5852146,2.32490782348365,3.52776928961757,1.77010892065718,0,9.83429269267313
"LOCAR","ECB23L",6,1980,1980,1980-06-01,"Summer",63000410.9979475,251414663.109477,4.50142960510385,1.49203363526697,2.60381353162459,3.15306137200953,14.6530613720095
